85	296	76
92	285	77
92	293	70
96	273	77
99	285	75
107	322	78
102	298	62
110	321	76
111	340	77
110	344	76
100	269	76
103	288	59
107	329	65
104	294	66
114	323	77
99	224	78
108	321	53
100	255	77
111	327	70
100	243	78
103	252	61
110	308	62
111	332	54
112	317	62
116	321	76
116	345	71
116	330	56
116	300	52
118	324	55
115	245	53
121	322	64
116	259	62
124	366	61
118	218	58
118	267	58
126	323	72
123	219	70
126	285	74
126	242	46
123	181	89
137	373	62
131	287	35
130	312	31
133	332	54
134	359	46
133	263	43
141	369	77
138	350	54
136	229	38
141	355	56
140	308	37
139	346	46
143	335	29
140	302	24
153	377	74
141	202	80
148	346	64
144	283	57
145	306	41
148	344	61
159	374	79
144	270	70
149	324	72
147	295	54
154	379	58
151	290	37
150	356	48
153	340	75
146	189	69
152	314	57
154	367	54
152	204	46
154	220	48
156	318	63
157	347	61
160	344	25
154	228	62
158	259	45
163	359	69
158	291	54
167	328	20
166	357	56
166	353	36
166	362	53
164	218	37
161	177	78
164	314	56
169	271	41
171	363	49
167	257	24
171	317	40
172	228	35
177	313	15
168	175	73
178	354	25
167	178	56
173	267	55
173	193	47
175	185	83
180	311	30
191	287	10
180	272	75
191	283	22
186	341	29
186	283	37
184	200	47
182	204	70
189	377	52
189	371	42
190	343	77
189	292	67
193	375	75
192	348	53
194	362	75
187	186	77
185	206	63
195	359	79
189	175	67
198	279	24
199	290	16
199	299	20
200	330	36
201	233	34
199	340	80
201	248	25
198	337	82
197	265	60
201	257	30
197	170	58
205	242	38
206	325	32
206	332	80
208	331	36
206	355	40
209	226	26
207	340	70
209	298	68
207	300	73
210	332	42
212	272	26
206	310	79
209	320	65
208	326	65
212	341	80
215	304	28
210	333	61
209	175	60
217	298	24
213	180	49
219	187	37
220	321	71
231	195	41
229	301	75
254	180	52
270	178	45
274	168	50
289	270	23
282	184	38
283	339	74
285	209	30
289	324	84
295	325	74
292	231	34
292	352	42
298	330	48
293	167	57
295	335	64
292	352	54
293	365	65
295	323	26
296	184	36
296	282	20
295	352	83
301	186	50
301	184	39
303	307	75
302	221	29
298	351	83
299	354	73
305	206	30
306	259	37
306	339	37
303	359	57
304	330	26
308	358	45
313	370	41
313	263	18
317	276	34
315	280	19
320	195	46
317	262	27
319	345	40
325	169	62
318	332	79
327	176	63
322	192	35
319	300	14
322	353	37
322	366	55
322	337	29
328	206	37
326	329	75
331	188	49
334	196	59
335	216	56
329	363	54
333	366	45
339	202	54
336	283	75
335	338	41
335	300	71
336	300	26
340	258	42
334	324	23
338	274	22
341	250	42
339	262	22
341	301	60
343	207	40
340	286	27
338	357	70
343	351	50
341	293	23
354	224	64
341	384	64
347	286	60
349	225	34
349	317	51
346	359	55
352	220	43
350	290	73
355	243	47
355	318	48
361	191	67
352	353	68
363	202	65
349	374	81
354	169	88
358	339	57
359	331	71
355	364	71
362	295	71
368	209	50
367	271	66
371	215	63
366	293	59
366	314	60
367	178	82
368	274	75
370	220	47
368	296	68
369	313	60
367	323	66
370	208	81
376	208	54
368	357	44
375	205	77
377	214	73
373	310	62
379	226	71
382	217	53
377	286	51
373	326	76
380	225	45
373	303	75
377	318	50
377	292	74
377	303	40
381	291	49
384	252	67
383	195	81
382	289	69
384	269	33
387	294	48
391	225	70
388	299	44
382	348	76
389	335	52
396	244	52
392	193	87
395	278	62
391	328	65
394	282	72
396	273	41
394	280	75
394	311	67
397	220	86
400	215	74
400	287	60
392	347	79
398	326	66
399	315	49
403	304	59
406	212	86
410	278	71
409	242	77
410	322	79
415	291	71
419	247	77
418	288	75
